Elementary,Intermediate ,Advanced
"Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York are not in the top 35, says an international study on quality of life.","Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New Yorkdo not even enter the top 35, according to international research into quality of life.","Vienna is the worlds best city to live in, Baghdad is the worst and London, Paris and New York do not even make it into the top 35, according to international research into quality of life."
"German-speaking cities do well in the 18th Mercer Quality of Life study, with Vienna, Zurich, Munich, Dusseldorf and Frankfurt in the top seven.","German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven.","German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven."
Paris fell ten places to 37th. This was mostly because of the terrorist attacks on the city. Paris was just above London in 39th place.,"Paris has dropped down the table  it has fallen ten places to 37th, just ahead of London at 39th, mostly because of the terrorist attacks on the city.","Paris has tumbled down the league, falling ten places to 37th, just ahead of London at 39th, almost entirely because of the citys vulnerability to terrorist attacks."
"The study looked at the economy, health, education, housing and the environment. Big companies use the results of the study to decide where they should open of ces and factories and how much they should pay their employees.","The study examined social and economic conditions, health, education, housing and the environment. It is used by big companies to decide where they should open of ces and factories and how much they should pay staff.","The study examined social and economic conditions, health, education, housing and the environment, and is used by big companies to assess where they should locate and how much they should pay staff."
"Helena Hartlauer, 32, is from Vienna. She saidshe was not surprised about her citys top position. For many years, Viennas government has spent money on good social housing. This makes Vienna a cheap place to live compared to other big cities.","Helena Hartlauer, 32, from Vienna, said she was not surprised at her citys top position. The citys social democratic government has a long tradition of investing money in high-quality social housing, which makes Vienna less expensive than other major cities.","Viennese-born Helena Hartlauer, 32, said she was not surprised at her citys top position. The municipalitys social democratic government has a long tradition of investing in high-quality social housing, making Vienna almost uniquely affordable among major cities."
"I live in a 100 square-metre apartment in a good area about 20 minutes walk from the city centre. But my rent is just 800 (625) a month. A similar apartment in London costs over 2,000 and even more in New York, which came 44th in the study.","I live in a 100sq-metre apartment in a good area about 20 minutes walk from the city centre. But my rent is just 800 (625) a month. A similar apartment in London would cost over 2,000 and even more in New York, ranked 44th in the table.","I live in a 100sq-metre turn-of-the-century apartment in a good area about 20 minutes walk from the city centre. But my rent is just 800 (625) a month. An equivalent apartment in London would cost upwards of 2,000 and even more in New York, ranked 44th in the table."
"US cities do badly in the study, mostly because of worries about personal safety and crime. The US city in top position is San Francisco, in 28th position; Boston is 34th.","US cities perform relatively badly in the study, mostly because of issues around personal safety and crime. The highest ranking city in the US is San Francisco, at 28th; Boston is 34th. Canadian cities, led by Vancouver, do much better than their US rivals in the table.","US cities perform relatively poorly in the study, largely because of issues around personal safety and crime. The highest ranking city in the US is San Francisco, at 28th; Boston is 34th. Canadian cities, led by Vancouver, far outrank their US rivals in the table."
"You dont realize how safe Vienna is until you go abroad, said Hartlauer. We also have terri c public transport  the underground trains run 24 hours at weekends and it only costs 1 per trip.","You dont realize how safe Vienna is until yougo abroad, said Hartlauer. We also have terri c public transport, with the underground working 24 hours at weekends and it only costs 1 per trip.","You dont realize how safe Vienna is until you head abroad, said Hartlauer. We also have terri c public transport, with the underground working 24 hours at weekends, and it only costs 1 per trip."
"Viennas location is very special, said Martin Eichtinger, Austrian ambassador to London, who lived in Vienna for 20 years. The fall of the Berlin Wall helped make Vienna a centre for companies who want to do business in Central Europe.","Vienna bene ted enormously from the fall of the Berlin Wall, becoming the gateway to Eastern European countries that often have historic connections to the former Austro-Hungarian empire.","Vienna bene ted enormously from the fall of the Berlin Wall, becoming the gateway to Eastern European countries that often have historic ties to the former Austro-Hungarian empire."
"Mercer says Zurich in Switzerland has the worlds second highest quality of life but the Viennese say their city is far more fun. There are more students in Vienna than any other German-speaking city, said Hartlauer. Its a very young and lively city, she added.","Our big USP (unique selling point) is our geographical location, said Martin Eichtinger, Austrian ambassador to London, who livedin Vienna for 20 years. The fall of the Berlin Wall helped make Vienna a hub for companies wanting to do business in Central Europe.","Our big USP is our geographical location,said Martin Eichtinger, Austrian ambassdaor to London, who lived in Vienna for 20 years. The fall of the Berlin Wall helped de ne Vienna as the hub for companies wanting to do business in Central Europe."
,"According to the World Bank, Austria has oneof the highest  gures for GDP (gross domestic product) per person in the world, just behind the US and ahead of Germany and Britain, although below neighbouring Switzerland.","According to the World Bank, Austria has oneof the highest  gures for GDP per head in the world, just behind the US and ahead of Germany and Britain, although quite some way below neighbouring Switzerland."
,"Mercer says Zurich in Switzerland has the worlds second highest quality of life but the Viennese say their city is far more fun. There are more students in Vienna than any other German-speaking city, said Hartlauer. Its a very fast growing, young and lively city, she added.","Zurich in Switzerland is named by Mercer as having the worlds second highest quality of life but the Viennese say their city is far more fun. There are more students in Vienna than any other German-speaking city, said Hartlauer. Its a very fast growing, young and lively city, she added  though she conceded she works for the citys tourist board."
,"Vienna has long been overlooked by British weekend city break tourists, who instead go to Barcelona or Berlin and tend to think of Austria as somewhere for skiing, lakes and mountains.","Vienna has long been overlooked by British weekend city break tourists, who instead  ock to Barcelona or Berlin and tend to think of Austria as somewhere for skiing, lakes and mountains."
,"But, after an increase in budget  ights from British cities such as Manchester and Edinburgh, Vienna is becoming a more popular destination. In 2015, there were 588,000 British visitors to Vienna, 18% more than the year before.","But, after an increase in budget  ights from regional British cities such as Manchesterand Edinburgh, Vienna is fast catching up asa popular destination. In 2015, there were 588,000 British visitors to Vienna, up 18% on the year before. The  ow is both ways; Eichtinger said London has become the number one city destination for Austrian visitors."
,"Vienna has ranked top in the last seven surveys, said Mercer. It scores highly in a number of categories; it provides a safe and stable environment to live in, a high standard of public transport and good recreational facilities.","Vienna has ranked top in the last seven published rankings, said Mercer. It scores highly in a number of categories; it provides a safeand stable environment to live in, a high level of public utilities and transport facilities and good recreational facilities."
,"London has never been in the quality-of-life top ten, says Mercer, damaged by its poor scores for air pollution, traf c congestion and climate. After London, Edinburgh is the next-ranking British city, in 46th place.","The European migrant crisis, which has seen large numbers of refugees and asylum seekers pass through Vienna en route to Germany, has had little impact on the city of nearly 1.8 million people, said Eichtinger. We have managed to accommodate 90,000 refugees in Austria but the numbers have slowed in recent months."
,"Paris has suffered the biggest fall in the most recent rankings. Paris has remained stable for several years but has, this year, dropped ten places, said Mercer. The drop was mostly due to the terrorist attacks in 2015 because safety is a very important factor in the survey.","London has never been in the quality-of-life top ten, says Mercer, damaged by its poor scores for air pollution, traf c congestion and climate. After London, Edinburgh is the next-ranking British city, in 46th place."
,"Auckland in New Zealand was the highest ranking English-speaking city in the survey,in third place, followed by Vancouver in  fth. Australian cities also do well in the survey, with Sydney 10th and Melbourne 15th.","Paris has suffered the biggest fall in the most recent rankings. Paris remained stable for several years but has, this year, dropped ten places in the overall ranking, said Mercer."
,"War and political unrest are behind all the worst- ranked cities in the world. Surprisingly, Damascus is named as only the seventh worst, ranked better than Baghdad, Bangui in Central African Republic, Sanaa in Yemen, Port-au-Prince in Haiti, Khartoum in Sudan and NDjamena in Chad.","The drop was essentially due to the terrorist attacks in 2015. However, it is important to highlight that safety issues are a very highly weighted factor within the basket so any small adjustments can have a big impact onthe ranking."
,,"Auckland in New Zealand was the highest ranking English-speaking city in the survey, in third place, followed by Vancouver in  fth. Australian cities also perform very highly in the survey, with Sydney 10th and Melbourne 15th. The Economist has consistently ranked Melbourne as the worlds most liveable city, although its survey has been criticized as too Anglocentric."
,,"War and political unrest are behind all the worst-ranked cities in the world. Surprisingly, Damascus is named as only the seventh worst, ranked better than not just Baghdad but also Bangui in Central African Republic, Sanaa in Yemen, Port-au-Prince in Haiti, Khartoum in Sudan and NDjamena in Chad."